property_id,municipality,state,culture,area_ha,obs_date,ndvi_mean,ndvi_std,evi_mean,cloud_cover_pct,satellite
PR-0005,Maringá,PR,milho,2600.7,2023-07-30,0.507,0.036,0.43,0.3,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-08-29,0.753,0.074,0.639,2.4,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-09-28,0.638,0.052,0.54,2.5,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-10-28,0.798,0.081,0.65,22.0,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-11-27,0.753,0.088,0.657,6.6,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-01-01,0.448,0.106,0.42,3.7,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-01-31,0.33,0.081,0.319,9.7,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-03-02,0.244,0.022,0.211,13.6,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-04-01,0.46,0.051,0.428,22.4,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-05-01,0.423,0.067,0.388,2.5,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-05-31,0.469,0.035,0.389,1.8,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-06-30,0.338,0.048,0.251,15.0,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-07-30,0.406,0.078,0.364,2.6,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-08-29,0.562,0.061,0.479,10.8,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-09-28,0.411,0.04,0.351,0.1,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-10-28,0.654,0.079,0.59,14.4,Sentinel-2
PR-0006,Toledo,PR,soja,1636.0,2023-11-27,0.399,0.05,0.341,1.1,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-01-01,0.711,0.052,0.618,12.1,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-01-31,0.701,0.075,0.596,7.8,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-03-02,0.793,0.098,0.726,13.3,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-04-01,0.424,0.063,0.366,10.7,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-05-01,0.444,0.1,0.4,13.3,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-05-31,0.362,0.056,0.35,0.9,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-06-30,0.721,0.032,0.634,4.9,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-07-30,0.77,0.048,0.703,2.1,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-08-29,0.641,0.062,0.539,27.3,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-09-28,0.844,0.055,0.762,4.1,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-10-28,0.785,0.057,0.692,28.2,Sentinel-2
PR-0007,Umuarama,PR,trigo,2702.0,2023-11-27,0.63,0.082,0.594,2.5,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-01-01,0.255,0.082,0.254,1.7,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-01-31,0.785,0.081,0.689,5.9,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-03-02,0.669,0.031,0.612,1.8,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-04-01,0.522,0.016,0.475,20.3,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-05-01,0.383,0.039,0.363,5.7,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-05-31,0.717,0.051,0.608,9.6,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-06-30,0.44,0.056,0.373,11.0,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-07-30,0.411,0.072,0.38,4.2,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-08-29,0.576,0.045,0.509,7.5,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-09-28,0.821,0.051,0.734,9.0,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-10-28,0.37,0.058,0.353,8.6,Sentinel-2
PR-0008,Toledo,PR,algodão,1332.0,2023-11-27,0.547,0.054,0.505,7.7,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-01-01,0.704,0.049,0.667,7.6,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-01-31,0.779,0.063,0.656,17.4,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-03-02,0.51,0.045,0.429,1.3,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-04-01,0.761,0.044,0.623,15.8,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-05-01,0.757,0.037,0.665,9.5,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-05-31,0.813,0.035,0.713,20.0,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-06-30,0.646,0.067,0.538,6.5,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-07-30,0.633,0.046,0.581,4.7,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-08-29,0.701,0.021,0.57,4.7,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-09-28,0.796,0.081,0.726,4.8,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-10-28,0.683,0.022,0.588,5.3,Sentinel-2
PR-0009,Toledo,PR,milho,2034.7,2023-11-27,0.885,0.061,0.791,10.0,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-01-01,0.455,0.066,0.387,1.9,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-01-31,0.442,0.045,0.394,5.0,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-03-02,0.592,0.074,0.489,23.4,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-04-01,0.521,0.101,0.458,6.9,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-05-01,0.06,0.067,0.046,17.8,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-05-31,0.424,0.073,0.348,10.6,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-06-30,0.392,0.019,0.325,5.3,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-07-30,0.326,0.037,0.303,12.8,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-08-29,0.286,0.022,0.298,6.1,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-09-28,0.25,0.082,0.203,8.7,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-10-28,0.501,0.071,0.444,2.4,Sentinel-2
PR-0010,Palotina,PR,trigo,1040.8,2023-11-27,0.348,0.05,0.322,3.3,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-01-01,0.499,0.068,0.459,60,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-01-31,0.517,0.043,0.473,12.2,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-03-02,0.393,0.033,0.355,0.2,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-04-01,0.477,0.066,0.424,8.9,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-05-01,0.349,0.055,0.293,1.5,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-05-31,0.242,0.034,0.19,1.0,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-06-30,0.54,0.013,0.473,3.0,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-07-30,0.436,0.038,0.334,4.0,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-08-29,0.41,0.052,0.347,0.9,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-09-28,0.356,0.065,0.271,7.3,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-10-28,0.729,0.1,0.638,4.5,Sentinel-2
PR-0011,Londrina,PR,trigo,2268.4,2023-11-27,0.401,0.044,0.366,3.3,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-01-01,0.639,0.032,0.55,10.6,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-01-31,0.657,0.075,0.568,13.2,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-03-02,0.65,0.055,0.535,2.5,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-04-01,0.807,0.082,0.672,0.7,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-05-01,0.72,0.05,0.599,3.8,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-05-31,0.697,0.098,0.614,1.6,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-06-30,0.708,0.095,0.594,9.7,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-07-30,0.826,0.06,0.722,23.7,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-08-29,0.793,0.076,0.657,9.4,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-09-28,0.761,0.046,0.644,12.6,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-10-28,0.803,0.068,0.693,7.0,Sentinel-2
PR-0012,Londrina,PR,cana-de-açúcar,361.3,2023-11-27,0.678,0.036,0.594,4.4,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-01-01,0.489,0.075,0.435,1.0,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-01-31,0.549,0.027,0.47,1.6,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-03-02,0.527,0.083,0.449,5.9,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-04-01,0.202,0.058,0.185,1.7,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-05-01,0.43,0.072,0.399,2.6,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-05-31,0.432,0.085,0.372,9.6,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-06-30,0.575,0.089,0.46,6.8,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-07-30,0.433,0.039,0.381,1.6,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-08-29,0.668,0.075,0.545,4.1,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-09-28,0.529,0.085,0.472,0.4,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-10-28,0.584,0.081,0.487,1.0,Sentinel-2
PR-0013,Ponta Grossa,PR,trigo,1087.8,2023-11-27,0.831,0.062,0.696,12.5,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-01-01,0.399,0.085,0.324,0.5,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-01-31,0.523,0.069,0.453,11.5,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-03-02,0.378,0.049,0.342,6.4,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-04-01,0.497,0.071,0.449,9.4,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-05-01,0.337,0.061,0.289,15.7,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-05-31,0.473,0.073,0.418,2.5,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-06-30,0.414,0.034,0.365,1.0,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-07-30,0.289,0.062,0.262,2.5,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-08-29,0.399,0.065,0.354,13.9,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-09-28,0.281,0.079,0.235,5.1,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-10-28,0.406,0.079,0.35,4.6,Sentinel-2
PR-0014,Palotina,PR,algodão,1172.1,2023-11-27,0.61,0.026,0.507,10.6,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-01-01,0.853,0.051,0.699,60,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-01-31,0.527,0.053,0.445,0.3,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-03-02,0.655,0.037,0.544,1.6,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-04-01,0.451,0.036,0.377,5.4,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-05-01,0.655,0.07,0.555,15.6,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-05-31,0.712,0.045,0.646,2.7,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-06-30,0.76,0.048,0.64,3.0,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-07-30,0.532,0.036,0.511,4.1,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-08-29,0.244,0.055,0.198,4.3,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-09-28,0.535,0.067,0.483,11.3,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-10-28,0.519,0.036,0.459,21.0,Sentinel-2
PR-0015,Guarapuava,PR,trigo,126.3,2023-11-27,0.783,0.031,0.693,1.0,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-01-01,0.536,0.052,0.518,19.5,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-01-31,0.887,0.05,0.774,14.3,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-03-02,0.489,0.06,0.41,14.4,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-04-01,0.675,0.075,0.585,6.4,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-05-01,0.398,0.09,0.305,16.0,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-05-31,0.587,0.054,0.546,4.3,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-06-30,0.731,0.05,0.643,2.8,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-07-30,0.512,0.01,0.407,5.4,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-08-29,0.689,0.08,0.585,6.3,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-09-28,0.806,0.043,0.706,1.7,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-10-28,0.629,0.035,0.551,0.4,Sentinel-2
PR-0016,Guarapuava,PR,milho,2143.9,2023-11-27,0.886,0.059,0.74,13.3,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-01-01,0.898,0.097,0.777,14.9,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-01-31,0.728,0.096,0.659,0.1,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-03-02,0.83,0.092,0.73,12.2,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-04-01,0.671,0.057,0.612,4.1,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-05-01,0.694,0.069,0.592,24.7,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-05-31,0.468,0.031,0.377,5.4,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-06-30,0.439,0.053,0.385,2.7,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-07-30,0.781,0.061,0.688,30.7,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-08-29,0.612,0.029,0.542,2.8,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-09-28,0.723,0.077,0.632,0.5,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-10-28,0.6,0.076,0.523,9.2,Sentinel-2
PR-0017,Londrina,PR,milho,1511.2,2023-11-27,0.804,0.065,0.71,7.5,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-01-01,0.512,0.054,0.43,2.4,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-01-31,0.474,0.096,0.415,18.5,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-03-02,0.417,0.049,0.345,7.1,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-04-01,0.493,0.046,0.413,2.3,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-05-01,0.419,0.049,0.347,2.2,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-05-31,0.469,0.036,0.397,39.4,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-06-30,0.269,0.113,0.226,6.7,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-07-30,0.283,0.047,0.216,0.4,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-08-29,0.25,0.045,0.231,12.8,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-09-28,0.39,0.045,0.327,8.1,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-10-28,0.308,0.039,0.263,14.6,Sentinel-2
PR-0018,Londrina,PR,algodão,2065.2,2023-11-27,0.262,0.03,0.197,8.3,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-01-01,0.746,0.051,0.639,1.5,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-01-31,0.893,0.077,0.796,28.5,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-03-02,0.555,0.051,0.49,13.9,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-04-01,0.689,0.024,0.604,11.0,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-05-01,0.646,0.068,0.573,27.2,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-05-31,0.659,0.08,0.548,31.3,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-06-30,0.829,0.053,0.698,0.1,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-07-30,0.789,0.039,0.681,8.9,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-08-29,0.614,0.037,0.555,0.9,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-09-28,0.558,0.06,0.49,17.2,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-10-28,0.565,0.043,0.493,13.9,Sentinel-2
PR-0019,Umuarama,PR,cana-de-açúcar,148.4,2023-11-27,0.782,0.074,0.671,4.2,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-01-01,0.77,0.06,0.672,3.9,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-01-31,0.844,0.026,0.769,9.5,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-03-02,0.591,0.053,0.508,8.5,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-04-01,0.514,0.074,0.423,22.4,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-05-01,0.612,0.09,0.536,2.2,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-05-31,0.746,0.023,0.692,3.7,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-06-30,0.757,0.043,0.674,27.6,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-07-30,0.67,0.095,0.571,0.8,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-08-29,0.674,0.088,0.592,3.2,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-09-28,0.714,0.095,0.619,1.8,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-10-28,0.781,0.038,0.648,2.1,Sentinel-2
PR-0020,Marechal Cândido Rondon,PR,soja,2841.5,2023-11-27,0.625,0.065,0.509,7.3,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-01-01,0.43,0.072,0.371,0.1,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-01-31,0.407,0.064,0.34,3.1,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-03-02,0.448,0.066,0.389,11.0,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-04-01,0.284,0.026,0.252,5.8,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-05-01,0.46,0.075,0.406,12.2,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-05-31,0.338,0.076,0.276,4.9,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-06-30,0.391,0.058,0.32,9.3,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-07-30,0.366,0.016,0.321,0.6,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-08-29,0.494,0.073,0.444,8.0,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-09-28,0.469,0.043,0.402,41.8,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-10-28,0.3,0.056,0.254,9.7,Sentinel-2
PR-0021,Umuarama,PR,milho,2963.2,2023-11-27,0.396,0.077,0.322,11.7,Sentinel-2
