municipality,state,obs_date,temp_max_c,temp_min_c,precipitation_mm,humidity_pct
Marechal Cândido Rondon,PR,2023-10-28,16.8,7.5,87.6,75.8
Marechal Cândido Rondon,PR,2023-11-27,25.2,14.3,162.6,82.8
Palotina,PR,2023-01-01,30.9,22.4,192.3,56.1
Palotina,PR,2023-01-31,27.5,18.2,86.8,76.7
Palotina,PR,2023-03-02,18.4,10.2,89.4,66.8
Palotina,PR,2023-04-01,18.2,6.4,144.4,81.2
Palotina,PR,2023-05-01,14.7,1.4,116.4,83.0
Palotina,PR,2023-05-31,16.8,4.8,69.6,72.9
Palotina,PR,2023-06-30,18.9,9.1,103.9,77.0
Palotina,PR,2023-07-30,29.6,16.2,144.6,61.6
Palotina,PR,2023-08-29,19.9,9.4,152.3,83.2
Palotina,PR,2023-09-28,28.7,16.7,111.0,80.2
Palotina,PR,2023-10-28,26.3,13.3,214.5,80.9
Palotina,PR,2023-11-27,18.9,6.8,178.8,73.4
Umuarama,PR,2023-01-01,29.3,18.8,235.2,63.8
Umuarama,PR,2023-01-31,27.0,15.0,62.8,81.6
Umuarama,PR,2023-03-02,19.9,11.6,157.6,65.0
Umuarama,PR,2023-04-01,22.2,10.4,192.3,75.1
Umuarama,PR,2023-05-01,23.1,11.9,240.4,72.9
Umuarama,PR,2023-05-31,20.6,6.8,119.8,68.6
Umuarama,PR,2023-06-30,14.9,6.8,109.7,59.4
Umuarama,PR,2023-07-30,25.6,15.6,88.7,85.6
Umuarama,PR,2023-08-29,22.9,13.6,146.2,43.7
Umuarama,PR,2023-09-28,20.1,7.1,77.0,81.7
Umuarama,PR,2023-10-28,21.6,11.4,168.7,61.1
Umuarama,PR,2023-11-27,24.0,14.5,236.3,73.7
Campo Mourão,PR,2023-01-01,28.1,17.1,78.9,72.8
Campo Mourão,PR,2023-01-31,27.1,17.4,209.8,74.1
Campo Mourão,PR,2023-03-02,21.7,9.2,127.9,75.8
Campo Mourão,PR,2023-04-01,19.3,8.9,182.6,53.4
Campo Mourão,PR,2023-05-01,22.8,11.8,124.8,67.3
Campo Mourão,PR,2023-05-31,17.3,9.2,137.1,59.5
Campo Mourão,PR,2023-06-30,23.2,11.7,129.1,57.4
Campo Mourão,PR,2023-07-30,25.6,12.4,151.4,61.7
Campo Mourão,PR,2023-08-29,21.9,11.1,97.6,93.4
Campo Mourão,PR,2023-09-28,26.6,15.1,102.2,79.4
Campo Mourão,PR,2023-10-28,22.5,12.8,190.3,68.7
Campo Mourão,PR,2023-11-27,26.6,15.6,23.3,93.3
Londrina,PR,2023-01-01,27.0,14.4,18.2,69.6
Londrina,PR,2023-01-31,24.8,13.3,224.8,74.7
Londrina,PR,2023-03-02,18.8,10.1,158.6,69.9
Londrina,PR,2023-04-01,23.6,11.8,195.5,78.4
Londrina,PR,2023-05-01,23.9,12.3,255.2,80.8
Londrina,PR,2023-05-31,23.5,10.5,45.4,69.2
Londrina,PR,2023-06-30,22.1,11.1,122.6,58.0
Londrina,PR,2023-07-30,24.6,11.6,214.4,75.5
Londrina,PR,2023-08-29,17.1,7.5,81.1,75.3
Londrina,PR,2023-09-28,25.7,14.8,13.4,72.0
Londrina,PR,2023-10-28,22.3,11.4,195.4,56.6
Londrina,PR,2023-11-27,20.3,7.9,186.3,67.0
Maringá,PR,2023-01-01,29.4,21.3,152.2,67.0
Maringá,PR,2023-01-31,27.8,18.6,156.8,68.4
Maringá,PR,2023-03-02,24.6,12.8,101.5,66.6
Maringá,PR,2023-04-01,21.7,8.5,134.1,72.7
Maringá,PR,2023-05-01,29.3,17.0,251.3,77.8
Maringá,PR,2023-05-31,20.4,10.5,189.5,63.8
Maringá,PR,2023-06-30,23.3,11.2,175.8,80.0
Maringá,PR,2023-07-30,15.0,4.8,95.2,65.1
Maringá,PR,2023-08-29,22.7,10.2,183.4,94.9
Maringá,PR,2023-09-28,21.8,12.8,127.7,60.9
Maringá,PR,2023-10-28,21.2,10.4,168.6,73.1
Maringá,PR,2023-11-27,22.0,9.8,147.0,76.2
Ponta Grossa,PR,2023-01-01,26.7,15.0,145.7,68.9
Ponta Grossa,PR,2023-01-31,27.4,15.6,174.2,65.8
Ponta Grossa,PR,2023-03-02,24.0,14.3,142.9,81.0
Ponta Grossa,PR,2023-04-01,20.3,7.9,82.7,84.6
Ponta Grossa,PR,2023-05-01,25.5,13.7,114.3,75.9
Ponta Grossa,PR,2023-05-31,25.8,17.2,146.6,78.1
Ponta Grossa,PR,2023-06-30,20.6,9.5,129.9,66.0
Ponta Grossa,PR,2023-07-30,19.7,8.2,181.2,61.2
Ponta Grossa,PR,2023-08-29,26.8,15.1,123.0,77.8
Ponta Grossa,PR,2023-09-28,20.9,12.9,144.0,78.9
Ponta Grossa,PR,2023-10-28,25.7,16.8,110.4,71.8
Ponta Grossa,PR,2023-11-27,22.0,13.5,166.7,71.0
Guarapuava,PR,2023-01-01,29.1,18.3,90.7,66.5
Guarapuava,PR,2023-01-31,32.8,23.4,72.5,82.7
Guarapuava,PR,2023-03-02,21.2,8.2,94.9,70.4
Guarapuava,PR,2023-04-01,23.1,11.5,146.8,77.9
Guarapuava,PR,2023-05-01,20.4,11.5,110.0,62.0
Guarapuava,PR,2023-05-31,23.2,11.0,139.9,77.1
Guarapuava,PR,2023-06-30,25.5,16.4,97.2,85.1
Guarapuava,PR,2023-07-30,17.6,5.0,110.2,80.7
Guarapuava,PR,2023-08-29,17.5,4.0,71.5,75.5
Guarapuava,PR,2023-09-28,24.7,11.1,173.0,71.8
Guarapuava,PR,2023-10-28,20.7,9.2,165.2,61.6
Guarapuava,PR,2023-11-27,27.8,14.3,131.9,72.0
